interaction_id,hero_id,ability_id,ability_effect_reference,other_entity_type,other_entity_id,interaction_type,mechanic,behavior,value,unit,condition,target_scope,test_status,verified_patch,confidence,source_ids,notes
HINT-0011,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier_end_time_scale_for_flinch,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier_end_time_scale_for_flinch,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,0.9,seconds,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0012,apollo,apollo_itani_lo_sahn,apollo_itani_lo_sahn::target_non_hero_modifier_damage_time_offset,nonhero_unit,nonhero_unit,special_case,target_non_hero_modifier_damage_time_offset,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,0.3,seconds,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0013,billy,billy_bashdown,billy_bashdown::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0014,billy,billy_rising_ram,billy_rising_ram::reduce_cooldown_on_hit_pct,global_mechanic,cooldown_rules,special_case,reduce_cooldown_on_hit_pct,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,50,percent,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0015,billy,billy_blasted,billy_blasted::non_player_resource_scale_pct,nonhero_unit,nonhero_unit,special_case,non_player_resource_scale_pct,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,25,percent,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0016,celeste,celeste_radiant_daggers,celeste_radiant_daggers::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0017,dynamo,dynamo_kinetic_pulse,dynamo_kinetic_pulse::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0018,graves,graves_jar_of_dead,graves_jar_of_dead::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,4,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0019,graves,graves_jar_of_dead,graves_jar_of_dead::ability_charges_conditionally,global_mechanic,ability_charge_rules,special_case,ability_charges_conditionally,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0020,graves,graves_jar_of_dead,graves_jar_of_dead::pickups_per_boss_death,objective,midboss,special_case,pickups_per_boss_death,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,5,count,base ability state,midboss,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0021,graves,graves_jar_of_dead,graves_jar_of_dead::pickups_per_neutral_trooper_death,nonhero_unit,nonhero_unit,special_case,pickups_per_neutral_trooper_death,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,3,count,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0022,grey_talon,grey_talon_charged_shot,grey_talon_charged_shot::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0023,holliday,holliday_powder_keg,holliday_powder_keg::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,2,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0024,holliday,holliday_bounce_pad,holliday_bounce_pad::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0025,holliday,holliday_crackshot,holliday_crackshot::crackshot_npccd_reduction,nonhero_unit,nonhero_unit,special_case,crackshot_npccd_reduction,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,50,percent,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0026,infernus,infernus_napalm,infernus_napalm::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0027,ivy,ivy_entangling_thorns,ivy_entangling_thorns::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0028,ivy,ivy_air_drop,ivy_air_drop::cooldown_reduction_pct_on_others,global_mechanic,cooldown_rules,special_case,cooldown_reduction_pct_on_others,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,30,percent,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0029,kelvin,kelvin_frost_grenade,kelvin_frost_grenade::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,2,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0030,lash,lash_grapple,lash_grapple::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0031,lash,lash_flog,lash_flog::heal_pct_vs_non_heroes,nonhero_unit,nonhero_unit,special_case,heal_pct_vs_non_heroes,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,16,percent,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0032,mcginnis,mcginnis_mini_turret,mcginnis_mini_turret::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0033,mcginnis,mcginnis_mini_turret,mcginnis_mini_turret::boss_damage_percent_incoming,objective,midboss,special_case,boss_damage_percent_incoming,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,50,percent,base ability state,midboss,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0034,mcginnis,mcginnis_mini_turret,mcginnis_mini_turret::boss_damage_percent_outgoing,objective,midboss,special_case,boss_damage_percent_outgoing,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,30,percent,base ability state,midboss,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0035,mcginnis,mcginnis_mini_turret,mcginnis_mini_turret::non_hero_damage_percent_outgoing,nonhero_unit,nonhero_unit,special_case,non_hero_damage_percent_outgoing,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,50,percent,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0036,mina,mina_rake,mina_rake::trooper_execute_threshold,nonhero_unit,nonhero_unit,special_case,trooper_execute_threshold,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,60,flat,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0037,mina,mina_nox_nostra,mina_nox_nostra::current_health_damage_cap_to_bosses,objective,midboss,special_case,current_health_damage_cap_to_bosses,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,20,health,base ability state,midboss,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0038,mirage,mirage_fire_scarabs,mirage_fire_scarabs::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,2,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0039,mo_and_krill,mo_and_krill_scorn,mo_and_krill_scorn::damage_heal_mult_non_hero,nonhero_unit,nonhero_unit,special_case,damage_heal_mult_non_hero,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,0.35,multiplier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0040,paige,paige_bookwyrm,paige_bookwyrm::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0041,rem,rem_pillow_toss,rem_pillow_toss::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0042,rem,rem_pillow_toss,rem_pillow_toss::cd_reduce_on_pillow_hit,global_mechanic,cooldown_rules,special_case,cd_reduce_on_pillow_hit,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,5,flat,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0043,rem,rem_lil_helpers,rem_lil_helpers::npc_infest_duration,nonhero_unit,nonhero_unit,special_case,npc_infest_duration,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,50,seconds,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0044,seven,seven_lightning_ball,seven_lightning_ball::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0045,shiv,shiv_serrated_knives,shiv_serrated_knives::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,2,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0046,silver,silver_slam_fire,silver_slam_fire::non_player_bonus_weapon_power,nonhero_unit,nonhero_unit,special_case,non_player_bonus_weapon_power,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,100,flat,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0047,silver,silver_lycan_curse,silver_lycan_curse::ability_charges_conditionally,global_mechanic,ability_charge_rules,special_case,ability_charges_conditionally,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0048,sinclair,sinclair_vexing_bolt,sinclair_vexing_bolt::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0049,the_doorman,the_doorman_call_bell,the_doorman_call_bell::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0050,venator,venator_hex_lined_snap_trap,venator_hex_lined_snap_trap::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,2,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0051,victor,victor_pain_battery,victor_pain_battery::ability_charges_conditionally,global_mechanic,ability_charge_rules,special_case,ability_charges_conditionally,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0052,victor,victor_jumpstart,victor_jumpstart::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0053,vindicta,vindicta_assassinate,vindicta_assassinate::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,2,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0054,viscous,viscous_puddle_punch,viscous_puddle_punch::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0055,vyper,vyper_screwjab_dagger,vyper_screwjab_dagger::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,2,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0056,wraith,wraith_card_trick,wraith_card_trick::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,2,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0057,wraith,wraith_card_trick,wraith_card_trick::ability_charges_conditionally,global_mechanic,ability_charge_rules,special_case,ability_charges_conditionally,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,1,charges,base ability state,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0058,wraith,wraith_card_trick,wraith_card_trick::heart_heal_non_hero_ratio,nonhero_unit,nonhero_unit,special_case,heart_heal_non_hero_ratio,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,0.5,multiplier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0059,wraith,wraith_card_trick,wraith_card_trick::non_player_card_resource_scale,nonhero_unit,nonhero_unit,special_case,non_player_card_resource_scale,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,0.35,multiplier,base ability state,nonhero_unit,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0060,bebop,bebop_hyper_beam,bebop_hyper_beam::beam_lifesteal_non_hero_percent,nonhero_unit,nonhero_unit,special_case,beam_lifesteal_non_hero_percent,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,percent,unlocked or modified by tier 3,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0061,haze,haze_smoke_bomb,haze_smoke_bomb::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,charges,unlocked or modified by tier 2,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0062,holliday,holliday_crackshot,holliday_crackshot::ability_cooldown_per_headshot_npc,nonhero_unit,nonhero_unit,special_case,ability_cooldown_per_headshot_npc,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,seconds,unlocked or modified by tier 3,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0063,infernus,infernus_flame_dash,infernus_flame_dash::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,charges,unlocked or modified by tier 3,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0064,lady_geist,lady_geist_life_drain,lady_geist_life_drain::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,charges,unlocked or modified by tier 3,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0065,mcginnis,mcginnis_medicinal_specter,mcginnis_medicinal_specter::stamina_cooldown_reduction,global_mechanic,cooldown_rules,special_case,stamina_cooldown_reduction,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,percent,unlocked or modified by tier 2,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0066,paradox,paradox_time_wall,paradox_time_wall::ability_charges,global_mechanic,ability_charge_rules,special_case,ability_charges,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,charges,unlocked or modified by tier 3,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0067,shiv,shiv_slice_and_dice,shiv_slice_and_dice::cooldown_reduction_on_hit,global_mechanic,cooldown_rules,special_case,cooldown_reduction_on_hit,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,percent,unlocked or modified by tier 3,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
HINT-0068,shiv,shiv_slice_and_dice,shiv_slice_and_dice::cooldown_reduction_on_hit_non_hero,nonhero_unit,nonhero_unit,special_case,cooldown_reduction_on_hit_non_hero,Explizites strukturiertes Sonderfeld für diese Ziel- oder Regelklasse.,,percent,unlocked or modified by tier 3,ability-defined,structured_data,Minor Update - 08-22-2026,medium,"[""HSRC-0004""]","Keine darüber hinausgehende Item-, Proc- oder Objective-Wirkung abgeleitet."
